Participant ID,Using right hand?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Accuracy Score,Time Score,Cumulative Accuracy Score,Cumulative Time Score,Cumulative Score,Reach Distance,Green Time,Yellow Time,Red Time,Preceding Green Time,Preceding Yellow Time,Preceding Red Time
emilytest6,YES,NO,1,10.00007,2,10.00007,NO,NO,NO,2.318819,1.820524,39.5327,0,6.771088E-05,-6.771088E-05,6.771088E-05,-6.771088E-05,0,0.1836898,0,0,10.00007,0,0,2.000027
emilytest6,YES,NO,2,19.99986,3,10.00007,YES,NO,NO,0.6185989,4.70559,142.66,0,6.771088E-05,-6.771088E-05,0.0001354218,-0.0001354218,0,0.1826995,0.8333342,6.155572,3.011107,0.6110668,1.044369,0.3555298
emilytest6,YES,NO,3,29.99913,4,10.00007,NO,NO,NO,5.968132,6.346715,92.39078,0,6.771088E-05,-6.771088E-05,0.0002031326,-0.0002031326,0,0.1663831,0.2777778,7.488923,2.233335,0,2.010965,0
emilytest6,YES,NO,4,37.1106,5,7.11114,YES,YES,NO,-0.3235242,4.756722,86.16492,9.068406,6.179546,2.88886,6.179749,2.888657,9.068406,0.08762685,1.122224,5.555564,0.4333333,0.6222839,1.377914,0
emilytest6,YES,NO,5,47.1116,6,10.00007,NO,NO,NO,10.31546,5.481183,126.9446,0,6.771088E-05,-6.771088E-05,6.179817,2.888589,9.068406,0.3289538,0.06666667,3.822211,6.111127,0,0.8889771,1.111221
emilytest6,YES,NO,6,54.71235,3,7.600036,YES,YES,YES,-2.200114,5.342227,121.3373,9.036226,6.636262,2.399964,12.81608,5.288553,18.10463,0.1933598,0.8555565,3.611102,3.133328,0.8111916,0.9334259,0.2555809
emilytest6,YES,NO,7,64.7131,4,10.00007,NO,NO,YES,-9.949745,-2.930673,145.1525,0,6.771088E-05,-6.771088E-05,12.81615,5.288486,18.10463,0.2501286,0,5.366673,4.633329,0,1.133343,0.8777237
emilytest6,YES,NO,8,74.71066,5,10.00007,NO,NO,YES,-2.547204,-0.8811185,233.7443,0,6.771088E-05,-6.771088E-05,12.81621,5.288418,18.10463,0.04970911,0.4666667,7.02225,2.511111,0.2443848,1.166382,0.5998535
emilytest6,YES,NO,9,84.70821,6,10.00007,NO,NO,YES,4.730537,-3.810934,143.7283,0,6.771088E-05,-6.771088E-05,12.81628,5.28835,18.10463,0.3173349,1.933337,4.299992,3.766656,1.010864,0.8886719,0.111084
emilytest6,YES,NO,10,92.42855,3,7.72226,YES,YES,YES,-0.5207641,2.804196,95.6581,2.717349,0.4396088,2.27774,13.25589,7.566091,20.82198,0.2069967,0.4444444,4.622218,2.655554,0,1.510742,0.4998779
